,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
1664,BMW,430 i,2021,"9,472 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Blue,None reported,Yes,"$51,000"
1666,Nissan,NV200 S,2019,"52,000 mi.",Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,At least 1 accident or damage reported,Yes,"$19,500"
1678,INFINITI,QX60 Base,2014,"154,247 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$12,500"
1681,Acura,Integra GS-R,1995,"123,000 mi.",–,–,5-Speed M/T,White,Blue,None reported,Yes,"$10,999"
1705,Toyota,4Runner SR5,2019,"91,843 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,"$30,500"
1773,Audi,Q7 3.0T Premium Plus,2014,"96,273 mi.",Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$15,495"
1789,Lexus,LC 500 Base,2021,915 mi.,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,White,None reported,Yes,"$159,000"
1801,Buick,Enclave 1XL,2011,"170,000 mi.",Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gold,Beige,At least 1 accident or damage reported,Yes,"$4,000"
1814,Audi,R8 4.2 quattro Spyder,2011,"35,322 mi.",Gasoline,4.2L V8 32V GDI DOHC,6-Speed Manual,Phantom Black Pearl Effect / Black Roof,Red,None reported,,"$94,900"
1823,BMW,750 i,2017,"24,650 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,"$50,000"
1824,Volkswagen,Golf R 4-Door,2013,"102,750 mi.",Gasoline,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$20,000"
1868,Nissan,Frontier SV,2012,"96,600 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,At least 1 accident or damage reported,Yes,"$17,000"
1880,Ford,Bronco Outer Banks,2023,"16,500 mi.",Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,"$54,000"
1899,Lexus,CT 200h Premium,2012,"109,000 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,At least 1 accident or damage reported,Yes,"$14,945"
1903,Toyota,GR86 Base,2022,"13,400 mi.",Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$33,499"
1918,Audi,A7 3.0T Prestige,2013,"87,066 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$20,999"
1927,Lexus,GS 350 Base,2010,"212,000 mi.",Gasoline,303.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$9,450"
1973,Porsche,Cayenne S,2014,"36,000 mi.",Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,"$37,000"
2002,BMW,650 i xDrive,2015,"76,474 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$32,000"
2009,RAM,1500 Laramie,2022,"18,645 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,Diamond Black,Black,None reported,Yes,"$49,700"
2015,Lexus,RC F Base,2015,"51,400 mi.",Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,Yes,"$43,000"
2048,Ford,Mustang GT,2014,"38,560 mi.",Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,"$28,500"
2053,Subaru,Baja Base,2003,"71,000 mi.",Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,"$14,900"
2080,BMW,650 Gran Coupe i,2014,"92,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$24,000"
2098,Land,Rover LR4 HSE LUX Landmark Edition,2016,"63,300 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,"$31,000"
2109,Volkswagen,New Beetle GLS,2001,"63,250 mi.",Gasoline,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Yellow,Yellow,None reported,Yes,"$12,000"
2110,Audi,Q5 S line Premium Plus,2022,"13,895 mi.",Hybrid,2.0 Liter TFSI,Automatic,Daytona Gray,Black,None reported,,"$44,998"
2111,Lamborghini,Aventador LP750-4 Superveloce,2017,"10,654 mi.",Gasoline,"6.5L V-12 DOHC, variable valve control, premium unleaded, engine",Automatic,Balloon White,Nero Ade,None reported,,"$449,991"
2165,Dodge,Ram 2500 ST,2010,"151,544 mi.",Gasoline,355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Brown,Gray,At least 1 accident or damage reported,Yes,"$17,700"
2178,Chevrolet,Silverado 1500 2LT,2014,"102,604 mi.",E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,Yes,"$25,500"
2198,Toyota,FJ Cruiser Base,2014,"92,000 mi.",Gasoline,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,None reported,Yes,"$27,500"
2207,Pontiac,Solstice GXP,2009,"122,348 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$10,000"
2218,Ford,F-150 XLT,2022,"18,465 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Gray,None reported,Yes,"$47,500"
2231,Tesla,Model 3 Long Range,2021,"32,670 mi.",,Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,"$37,000"
2252,Audi,Q5 3.0T Premium Plus,2015,"60,251 mi.",Gasoline,272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$19,000"
2261,smart,ForTwo Pure,2008,"61,595 mi.",Gasoline,70.0HP 1.0L 3 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,Yes,"$5,000"
2288,RAM,2500 Tradesman,2020,"41,000 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Gray,,,"$45,515"
2328,Cadillac,Escalade ESV Platinum Edition,2013,"119,000 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,,,"$20,500"
2333,Subaru,Impreza 2.0i,2015,"102,242 mi.",Gasoline,"2L H-4 DOHC, variable valve control, regular unleaded, engine wi",Manual,Quartz Blue Pearl,Black,At least 1 accident or damage reported,,"$11,498"
2343,Tesla,Model 3 Long Range,2018,"43,000 mi.",,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,"$30,499"
2359,Ford,Taurus SHO,2014,"138,415 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$15,500"
2363,BMW,335 i xDrive,2009,"69,764 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$19,500"
2429,Bentley,Continental GT V8,2020,"33,000 mi.",Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,"$188,500"
2445,Chevrolet,Camaro 2SS,2018,"75,151 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,"$45,000"
2465,GMC,Savana 2500 Work Van,2017,"117,000 mi.",E85 Flex Fuel,342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Silver,None reported,Yes,"$38,000"
2468,Nissan,Titan XD SV,2017,"80,000 mi.",Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,"$23,800"
2482,Toyota,Sequoia SR5,2007,"136,000 mi.",Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,"$12,500"
2486,Chrysler,300 Touring,2005,"119,000 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,"$3,500"
2506,Mazda,Mazda3 Grand Touring,2018,"15,175 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Snowflake White Pearl Metallic,Parchment,At least 1 accident or damage reported,,"$19,212"
2559,Chevrolet,Corvette Base,2008,"51,855 mi.",Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Red,None reported,Yes,"$35,900"
2563,Chevrolet,Camaro 2SS,2022,"1,400 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"$54,900"
2597,Chrysler,200 Limited,2015,"95,271 mi.",E85 Flex Fuel,184.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,,,"$12,468"
2600,Ford,Focus SE,2018,"33,700 mi.",E85 Flex Fuel,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$12,000"
2606,Chevrolet,Express 2500 Work Van,2017,"76,000 mi.",Gasoline,285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,–,None reported,Yes,"$41,400"
2609,Acura,ILX Technology Plus Package,2016,"61,000 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$21,000"
2634,Genesis,G80 3.8,2017,"29,720 mi.",Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,Beige,None reported,Yes,"$29,500"
2649,Honda,Civic Sport,2020,"22,227 mi.",Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Red,Black,,,"$25,980"
2654,BMW,M3 Base,2002,"204,884 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,Yes,"$21,500"
2667,Chevrolet,Corvette Grand Sport,2011,"12,300 mi.",Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,None reported,Yes,"$45,000"
2678,Toyota,Highlander Platinum,2020,"41,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,"$38,700"
2680,Ford,Thunderbird Deluxe,2002,"40,110 mi.",Gasoline,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,"$18,500"
2685,Ford,Focus SE,2009,"107,500 mi.",Gasoline,132.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$9,500"
2686,Porsche,911 Carrera 4 GTS,2023,"1,518 mi.",Gasoline,473.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Brown,None reported,Yes,"$194,965"
2695,Ford,F-250 XLT,2019,"38,600 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Blue,–,None reported,Yes,"$54,500"
2698,Lexus,LS 460 Base,2012,"103,000 mi.",Gasoline,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$20,500"
2701,Ford,F-250 Limited,2018,"64,000 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,Red,Beige,None reported,Yes,"$64,000"
2724,INFINITI,G35 Base,2003,"106,500 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,"$9,500"
2755,Land,Rover Range Rover Velar P380 S,2018,"46,000 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,"$40,000"
2756,Ford,F-250 XLT Crew Cab Super Duty,2008,"190,321 mi.",Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,White,Beige,None reported,Yes,"$15,900"
2760,Jeep,Gladiator Overland,2020,"20,655 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,,,"$42,850"
2776,Ford,F-150 XLT,2020,"57,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,"$37,500"
2779,Tesla,Model S Performance,2012,"61,000 mi.",,416.0HP Electric Motor Electric Fuel System,A/T,Green,Black,None reported,Yes,"$29,000"
2816,GMC,Terrain SLT,2020,"55,018 mi.",Gasoline,170.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$25,500"
2822,Ford,Explorer XLT,2020,"45,000 mi.",Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,Black,None reported,Yes,"$33,500"
2827,Mazda,Mazda3 i Touring,2012,"144,900 mi.",Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,–,None reported,Yes,"$6,000"
2855,Toyota,Corolla CE,2008,"170,000 mi.",Gasoline,126.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,"$5,199"
2860,BMW,M3 Base,2002,"60,255 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,"$28,750"
2864,Lexus,NX 300 Base,2021,"6,449 mi.",Gasoline,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,Silver,Black,At least 1 accident or damage reported,,"$35,999"
2866,Nissan,Armada LE,2009,"87,130 mi.",Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,Yes,"$20,000"
2867,Lexus,SC 300 Base,1998,"165,000 mi.",Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Purple,Beige,None reported,Yes,"$8,700"
2886,Honda,Odyssey EX-L,2007,"170,000 mi.",Gasoline,244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,"$7,700"
2902,Jeep,Wrangler Sport,2014,"71,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,"$22,000"
2905,BMW,M550 i xDrive,2019,"7,580 mi.",Gasoline,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$51,500"
2926,Ford,F-250 XLT,2017,"244,000 mi.",Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Red,Beige,None reported,Yes,"$35,500"
2964,Hyundai,Kona EV SEL,2022,"9,400 mi.",,201.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,"$31,999"
2978,Ford,F-250 XLT,2016,"94,300 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$28,999"
2993,Ford,F-150 Lariat,2016,"117,000 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$26,500"
3001,Volkswagen,GTI Base,2008,"95,798 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$9,850"
3004,Kia,Telluride EX X-Line,2023,"10,400 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Green,None reported,Yes,"$48,000"
3008,BMW,320 i xDrive,2016,"185,000 mi.",Gasoline,180.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$7,500"
3014,RAM,3500 Laramie,2013,"106,385 mi.",Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$42,900"
3064,Cadillac,Escalade ESV Platinum,2020,"92,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$50,000"
3071,Acura,MDX 3.5L w/Technology Package,2019,"90,605 mi.",Gasoline,3.5 Liter,Automatic,White,Parchment,None reported,,"$27,698"
3077,Subaru,Crosstrek 2.0i Limited,2018,"84,054 mi.",Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,"$21,499"
3108,Land,Rover Range Rover Sport HSE Dynamic,2019,"20,500 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,"$76,000"
